Name,Publisher
John J. Curtis,Marvel
Leonard Lajo,Marvel
Porky Potter,Marvel
Silas Stevens,Marvel
Bowery Bennie,Marvel
Demarest Dodds,Marvel
Doctor Demise,Marvel
Doctor Drearr,Marvel
John Jacob Gilligan,Marvel
Magda Malone,Marvel
Mort Morbid,Marvel
Morton Muse,Marvel
Torpedo Turner,Marvel
Dizzy Daze,Marvel
Doctor Dill,Marvel
Whip Wilson,Marvel
Brag Beaver,Marvel
Madame la Morte,Marvel
Demon from the Deep,Marvel
Natchez Nate,Marvel
Hatchet Haines,Marvel
Marty Mallen,Marvel
Rudy Rudolph,Marvel
Tiger of Tokchon,Marvel
Hangnam Hannah,Marvel
Lupa Lupoff,Marvel
Mad Dog Murdock,Marvel
Maynard Murrel,Marvel
Sandy Sandlin,Marvel
Caesar of Crime,Marvel
Crawling Creature,Marvel
King Kobra,Marvel
Blade Benson,Marvel
Captain Corbett,Marvel
Hopper Hertnecky,Marvel
Jasker Jelko,Marvel
Mr. Marvel,Marvel
Slugger Sokolowski,Marvel
Tumbling Turners,Marvel
Grizzly Grogan,Marvel
Molly Margaret McSnide,Marvel
Thorn Trask,Marvel
George Grey,Marvel
Hunk Hondo,Marvel
Sam Scorpio,Marvel
Second-Story Sammy,Marvel
John H. Holliday,Marvel
Klaus Kruger,Marvel
Weasel Wills,Marvel
Ronald Rankin,Marvel
Lightning Lord,Marvel
Rocky Rhodes,Marvel
Slugger Sykes,Marvel
Kor-Konn,Marvel
Maxwell Mordius,Marvel
Super Sentry,Marvel
Agent A-14,Marvel
Ralph Ryder,Marvel
Black Brother,Marvel
Demon of the Dark,Marvel
Hounds of Helios,Marvel
Kevin Kennerman,Marvel
Sister Saint,Marvel
Dack Derringer,Marvel
Shamash-Shum-Ukin,Marvel
Beth Bleckley,Marvel
Kurt Klemmer,Marvel
Marion Martinet,Marvel
Bennet Barlow,Marvel
Beta-Beast,Marvel
Stanley R. Stanley,Marvel
Belinda Bell,Marvel
Kevin Kraller,Marvel
Muck Monster,Marvel
Bo Barrigan,Marvel
Boom-Boom,Marvel
Milton Meilicki,Marvel
Samson Scythe,Marvel
Tarrax the Tamer,Marvel
Abner Abernathy,Marvel
Jou-Jouka,Marvel
Mister Magic,Marvel
Mister Magic,DC
Mister Mayhem,Marvel
Mister Mind,Marvel
Mister Mind,DC
Mister Muscles,Marvel
Hounds of the Hunter,Marvel
Johnny Jerome,Marvel
Ahmad Azis,Marvel
Darlene Dunderbeck,Marvel
Doctor Don,Marvel
Jake Jones,Marvel
Ali-Ben Ar,Marvel
Arthur Allan Smith,Marvel
Carlo Cervello,Marvel
Park Prowler,Marvel
Arthur Adams,Marvel
Wesley Werner,Marvel
Wilbur Wycombe,Marvel
Feathered Felon,Marvel
Todd Tremaine,Marvel
Marcello Montesi,Marvel
Talks-To-Spirits,Marvel
Gentle Gregor,Marvel
J. Pennington Pennypacker,Marvel
Armando Aviles,Marvel
Gabriel Gant,Marvel
Grim Guardian,Marvel
Mister Miracle,Marvel
Robin Ronalds,Marvel
William Williams,Marvel
Roberto Ruiz,Marvel
Soul Slug,Marvel
William Walter Goodman,Marvel
Flying Fox,Marvel
Flying Fox,DC
Margie Mulligan,Marvel
Tom Tojumi,Marvel
Count of Monte Cristo,Marvel
Marjorie Marko,Marvel
Pania Panapa,Marvel
Wizard of the West,Marvel
Aaron Amberson,Marvel
Dan Davis,Marvel
Maria Muradyan,Marvel
Nefer Neith Sinu\u00e9,Marvel
Starko Schumzianaqo,Marvel
Commander Clinton,Marvel
Master Monarch,Marvel
Millennium Monarch,Marvel
Sarah Shaw,Marvel
Cirlio Crisologo,Marvel
Gunmetal Gray,Marvel
John Jones,Marvel
John Jones,DC
Cedric Crichton,Marvel
Juliana Jararaca,Marvel
Joan Jameson,Marvel
Maria Murillo,Marvel
Butterfly-Bore,Marvel
Francis Foley,Marvel
Greenwich Guardian,Marvel
Grigory Grigorievich Rasputin,Marvel
Sally Sherman,Marvel
Zig-Zag,Marvel
Zig-Zag,DC
Bernard Van Buren,Marvel
Golden Gator,Marvel
Malcolm Modern,Marvel
Mary-Margaret Grey,Marvel
Mosquito Man,Marvel
Mr. Miller,Marvel
Mrs. Miller,Marvel
Abbas al-Abbad,Marvel
Devil Dinosaur,Marvel
La Lumi\u00e8re Bleue,Marvel
Michele Michaels,Marvel
Peggy Park,Marvel
Pseter Psarker,Marvel
Simon Strange,Marvel
Denny Drake,Marvel
Mighty Mother,Marvel
Selma Schaub,Marvel
Anton Aubuisson,Marvel
James Jackson,Marvel
Roger Ramsey,Marvel
Sky Song,Marvel
Calvin Cooley,Marvel
Koru Kaviti,Marvel
Ms. Puck-Man,Marvel
Sheba Sugarfangs,Marvel
Ambur Amaquelin,Marvel
Dolores Downing,Marvel
Gin Goh,Marvel
Magnetic Man,Marvel
Malcolm Monroe,Marvel
Alpha Achromic,Marvel
Colin Forty-Four,Marvel
Colin Thirty-Three,Marvel
Findle the Finder,Marvel
